node,label,description
https://data.cooperationdatabank.org/id/primingconcept/neutral,Neutral,No prime or a neutral prime
https://data.cooperationdatabank.org/id/emotion/sadness,Sadness,"The response to the loss of an object or person to which a person is very attached (Ekman & Cordaro, 2011)"
https://data.cooperationdatabank.org/id/emotion/neutral,Neutral,Often used as a baseline in studies that elicit emotions. Participants are exposed either to stimuli with neutral emotional valence or engage in a non-emotional control task
https://data.cooperationdatabank.org/id/betweenorwithinparticipantsdesign/3,3,
https://data.cooperationdatabank.org/vocab/prop/groupType,Group type,"Whether the group the participant is interacting with is a naturally occurring group or experimentally induced group (e.g., minimal group paradigm)."
https://data.cooperationdatabank.org/id/grouptype/experimentally_induced_group,Experimentally induced group,"An experimentally induced group (e.g., minimal group paradigm)"
https://data.cooperationdatabank.org/vocab/prop/knowledgeOfMembership,Knowledge of group membership,Who has knowledge of the focal and target agents' group membership.
https://data.cooperationdatabank.org/id/knowledgeofmembership/common,Common,The participant and their partner know each others' group membership
https://data.cooperationdatabank.org/id/statisticaltest/beta,beta,standardized regression coefficient (beta)
https://data.cooperationdatabank.org/vocab/prop/targetMembership,Partner's group membership,"Whether the participant is interacting with a partner identified as ingroup, outgroup, or stranger."
https://data.cooperationdatabank.org/id/targetmembership/ingroup,Ingroup,Partner(s) is a member of the participant's group
https://data.cooperationdatabank.org/id/targetmembership/outgroup,Outgroup,Partner(s) is a member of a different group than the participant
https://data.cooperationdatabank.org/id/uncertaintytarget/other,Other,Other uncertainty target not included in the existing categories
https://data.cooperationdatabank.org/vocab/prop/lotteryRewardIncentive,Lottery reward incentive,"Whether there was a chance of lottery for a reward to occur (see lottery incentive). TRUE = A lottery was implemented for reward to occur, FALSE = A lottery was not implemented for reward to occur."
https://data.cooperationdatabank.org/vocab/prop/rewardAgent,Reward agent,Who can enact reward on other participants (See Agent type).
https://data.cooperationdatabank.org/id/rewardagent/institution,Institution,"Institutional mechanism inside (e.g., impersonal sanctioning system) or outside (e.g., public institutions like government)"
https://data.cooperationdatabank.org/vocab/prop/rewardIncentive,Reward incentive,The form in which participants' reward decisions affect their partner's payoffs (see game incentive).
https://data.cooperationdatabank.org/id/rewardincentive/hypothetical,Hypothetical,"Hypothetical value for participants (e.g., points)"
https://data.cooperationdatabank.org/vocab/prop/rewardIterations,Reward iterations,The number of iterations of reward per reward phase.
https://data.cooperationdatabank.org/vocab/prop/rewardProbability,Reward probability,The probability that a reward decision is played out (and thus becomes beneficial to the rewarded agent).
https://data.cooperationdatabank.org/id/rewardrule/outcome-based,Outcome-based,Some set of players are rewarded if a collective threshold is (not) reached
https://data.cooperationdatabank.org/vocab/prop/rewardSequential,Sequential reward,"Whether group members make their reward decisions simultaneously or sequentially, i.e., whether players take decisions one after another while receiving some form of feedback on preceding decisions (see Sequentiality). "
https://data.cooperationdatabank.org/id/rewardsequential/simultaneous,Simultaneous,"Participants make the reward decision at the same time (i.e., without receiving information about others' reward decisions)"
https://data.cooperationdatabank.org/vocab/prop/rewardTreatment,Reward treatment,Reward is the imposition of positive payoffs on a specific player after a trial of the game.
https://data.cooperationdatabank.org/id/rewardtreatment/1,1,The reward treatment
https://data.cooperationdatabank.org/id/rewardrule/rank-based,Rank-based,The n lowest- (or highest-) ranked participants are rewarded
https://data.cooperationdatabank.org/id/punishmentagent/third_party,Third Party,"A person who does not interact with the participants in the main game e.g., a third-party punisher"
https://data.cooperationdatabank.org/id/rewardagent/third_party,Third Party,"A person who does not interact with the participants in the main game e.g., a third-party punisher"
https://data.cooperationdatabank.org/id/rewardincentive/non-monetary_social,Non-monetary Social,"Participants receive social incentives, such as blame or praise, from others based on the outcomes of the game"
https://data.cooperationdatabank.org/id/rewardrule/contribution-based,Contribution-based,Participants who made a contribution less (or more) than a specified amount are rewarded
https://data.cooperationdatabank.org/id/rewardtreatment/-1,-1,"The baseline treatment. This is the treatment compared against any treatment coded as reward treatment (= 1 identifies the reward effect). This means that the treatment is equal to the reward treatment, except for the availability of reward (which includes other concepts that are part of reward, such as reward effectiveness, etc.)"
https://data.cooperationdatabank.org/id/individualdifference/cognitive_ability,Cognitive ability,"One's general mental capability involving reasoning, problem solving, planning, abstract thinking, complex idea comprehension, and learning from experience (Gottfredson, 1997)"
https://data.cooperationdatabank.org/id/levelofanalysis/4,Group,"Data were analyzed at the group level, so that cooperation displayed by each group as a whole is used as observation in the analysis"
https://data.cooperationdatabank.org/id/punishmenttreatment/0,0,"Is not a punishment treatment. This is any treatment that is neither a punishment treatment nor a baseline relative to the punishment treatment (In practice, these are ignored in the platform)"
https://data.cooperationdatabank.org/id/rewardtreatment/0,0,"Is not a reward treatment. This is any treatment that is neither a punishment treatment nor a baseline relative to the punishment treatment (In practice, these are ignored in the platform)"
https://data.cooperationdatabank.org/vocab/prop/cognitiveLoadTreatment,Cognitive load treatment,"Participants are exposed to a treatment aimed at increasing their cognitive load before the game (e.g., the Stroop Task). TRUE = cognitive load treatment, FALSE = Participants are not exposed to the cognitive load manipulation or are exposed to a filler control task that should not affect their cognitive load or should affect it less (e.g., a Stroop Task that requires less cognitive resources)"
https://data.cooperationdatabank.org/vocab/prop/decisionMaker,Decision maker,Participant(s) accountable for making a decision in the game. Mostly manipulated in studies examining interindividual-intergroup discontinuity.
https://data.cooperationdatabank.org/id/decisionmaker/individual,individual,"The decision maker is a single individual. Individuals make a single decision, to be then matched with others in the game, producing an outcome for all participants involved (e.g., each person making a decision in a 4-persons PGD)"
https://data.cooperationdatabank.org/vocab/prop/decisionMakerUnitSize,Size of unit of decision maker,"Number of participants constituting a single decision maker unit (e.g., if a 6-person public good is divided into 2 triads that each make decisions, then the decision maker unit size is 3; in a 6-person public good where each person makes their own decision, then the individual decision maker unit is 1)."
https://data.cooperationdatabank.org/vocab/prop/groupSize,Group size,Overall number of people affected by the choices in the game.
https://data.cooperationdatabank.org/vocab/prop/groupSizeLevel,Group size level,"Relative size of the group, in case exact group size is not provided or it is not relevant (e.g., different group sizes are collapsed together and compared with others)."
https://data.cooperationdatabank.org/id/groupsizelevel/low,Low,Small relative size of the group
https://data.cooperationdatabank.org/vocab/prop/numberOfDecisionMakers,Number of decision makers,"Number of decision makers that each produce unique decisions that are used to calculate the collective payoff (e.g., 4 decision makers in a standard 4-persons PGD; 2 decision makers in a PDG with a 4-person group involving two subgroups that produce one decision each)."
https://data.cooperationdatabank.org/id/groupsizelevel/medium,Medium,Medium relative size of the group
https://data.cooperationdatabank.org/id/groupsizelevel/high,High,Large relative size of the group
https://data.cooperationdatabank.org/id/grouptype/natural_group,Natural group,"A naturally occurring group (e.g., political partisans, nationalities)"
https://data.cooperationdatabank.org/id/targetmembership/stranger,Stranger,Participants are not informed about whether their partner is an ingroup or outgroup member
https://data.cooperationdatabank.org/vocab/prop/expectationsLevel,Expectations level,"Participant expectations have been manipulated in the study, or authors split the sample in some way based on stated expectations of partner cooperation."
https://data.cooperationdatabank.org/id/expectationslevel/low,Low,Participants have low expectations about the other player(s)' behavior in the game
https://data.cooperationdatabank.org/id/expectationslevel/high,High,Participants have medium expectations about the other player(s)' behavior in the game
https://data.cooperationdatabank.org/id/expectationslevel/medium,Medium,Participants have medium expectations about the other player(s)' behavior in the game
https://data.cooperationdatabank.org/id/statisticaltest/m-x,M-X,McNemar test Chi-square statistic
https://data.cooperationdatabank.org/vocab/prop/age,Age,"Participants' age, usually measured as self-reported participants' person years."
https://data.cooperationdatabank.org/id/academicdiscipline/economics,Economics,Participants were economics students
https://data.cooperationdatabank.org/vocab/prop/academicGradeLevel,Academic grade level,Participants were grouped in different categories based on their academic grade. Each study can use its own criterion to make this classification. 
https://data.cooperationdatabank.org/id/academicgradelevel/junior,Junior,Participants were classified as junior with respect to their academic grade
https://data.cooperationdatabank.org/id/academicgradelevel/senior,Senior,Participants were classified as senior with respect to their academic grade
https://data.cooperationdatabank.org/vocab/prop/religiosityOperationalization,Religiosity operationalization,How is the specific construct pertaining to the religious sphere operationalized in the study. 
https://data.cooperationdatabank.org/id/religiosityoperationalization/religious_setting,Religious setting,"Participants interacted in a religious setting (e.g., church)"
https://data.cooperationdatabank.org/vocab/prop/religiousLevel,Religious exposure level,"Whether participants were exposed to a high versus low level of religious content (e.g., enrolled to a religious vs non-religious school). "
https://data.cooperationdatabank.org/id/religiouslevel/high,High,Participants were classified as having a relative high religious exposure
https://data.cooperationdatabank.org/id/statisticaltest/u,U,Mann-Whitney U statistic
https://data.cooperationdatabank.org/id/religiouslevel/low,Low,Participants were classified as having a relative low religious exposure
https://data.cooperationdatabank.org/id/religiosityoperationalization/religious_affiliation,Religious affiliation,Participants reported to be affiliated to a specific religion
https://data.cooperationdatabank.org/id/primingconcept/religion,Religion,A prime that relates to religion
https://data.cooperationdatabank.org/id/statisticaltest/x,X,Chi-square statistic
https://data.cooperationdatabank.org/vocab/prop/experimentalSetting,Experimental setting,The setting in which the experiment was conducted.
https://data.cooperationdatabank.org/id/experimentalsetting/lab_in_the_field,Lab in the field,The experiment had all the characteristics of a lab experiment but it is carried out at a field site
https://data.cooperationdatabank.org/id/experimentalsetting/lab,Lab,The experiment was conducted in a laboratory (Classrooms used as laboratory setting are considered as lab)
https://data.cooperationdatabank.org/vocab/prop/gossip,Gossip,People were allowed to share evaluations to others about their partners behavior.
https://data.cooperationdatabank.org/id/gossip/absent,Absent,Gossip was absent in the study
https://data.cooperationdatabank.org/vocab/prop/knowledgeOfPartnerPriorBehavior,Knowledge of partner's prior behavior,Participants were provided information about how their partner behaved previously in the current game or had behaved with others in a previous game (another closely related coding is feedback).
https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/absent,absent,Participants were not provided information about how their partner behaved in the current game or had behaved with others in a previous game
https://data.cooperationdatabank.org/id/gossip/present,Present,Gossip was present in the study
https://data.cooperationdatabank.org/id/knowledgeofpartnerpriorbehavior/present,present,Participants were provided information about how their partner behaved in the current game or had behaved with others in a previous game
https://data.cooperationdatabank.org/vocab/prop/partnerChoice,Partner choice,Matching of participants based on either the players' or the experimenter's decision.
https://data.cooperationdatabank.org/id/partnerchoice/migration,Migration,"Players can choose to enter different groups (but not specific players, as all players can migrate)"
https://data.cooperationdatabank.org/vocab/prop/partnerSelection,Partner selection,Participants can be chosen for interactions based on past behavior.
https://data.cooperationdatabank.org/id/partnerselection/absent,absent,Participants can not be chosen for interactions based on past behavior
https://data.cooperationdatabank.org/id/partnerselection/present,present,Participants can be chosen for interactions based on past behavior
https://data.cooperationdatabank.org/id/conflictindex/other,Other,None of the conflict index categories apply
https://data.cooperationdatabank.org/vocab/prop/intentions,Intentions,Correlation between cooperation and intentions participants are requested to state before making a decision in the game. 
https://data.cooperationdatabank.org/vocab/prop/contextFrame,Context frame,"Context framing involves differently worded, but logically equivalent, descriptions of otherwise unchanged games (Gerlach, Jaeger, & Hertwig, 2018)."
https://data.cooperationdatabank.org/id/contextframe/cooperative,Cooperative,Cooperative frames refer to the participants' common interests
https://data.cooperationdatabank.org/vocab/prop/motivationalOrientation,Motivational orientation,Participants were instructed to adopt a specific goal when interacting in the game.
https://data.cooperationdatabank.org/id/motivationalorientation/cooperative,Cooperative,Cooperative goals aim to equalize and/or maximize joint outcomes
https://data.cooperationdatabank.org/id/contextframe/competitive,Competitive,Competitive frames refer to discord and rivalry among the participants
https://data.cooperationdatabank.org/id/motivationalorientation/competitive,Competitive,Competitive goals aim to maximize the relative difference between own and the othersâ outcome
https://data.cooperationdatabank.org/vocab/prop/focalPointFrame,Focal point frame,"In coordination games, frames can used techniques to refer participants to a unique but principally arbitrary move by highlighting one particular choice (e.g., by bolding the text in one cell). TRUE = Has a focal point frame, FALSE = Has no focal point frame."
https://data.cooperationdatabank.org/id/contextframe/generic,Generic,"Generic frames refer to concepts other than moral, competitive, or cooperative"
https://data.cooperationdatabank.org/vocab/prop/normativeBeliefs,Normative beliefs,Correlation between cooperation and participants' beliefs about what others expect them to do. 
https://data.cooperationdatabank.org/id/individualdifference/right-wing_authoritatianism,Right-wing authoritatianism,"Opposing any change in the social status quo, [â¦] favouring tough punishment of deviance, nonconformity, or innovation, [and] favouring traditional, old-fashioned lifestyles, behavioural norms, and values (Duckitt, Bizumic, Krauss, & Heled, 2010, p. 691)"
https://data.cooperationdatabank.org/id/feedbackcontent/earnings,Earnings,Feedback about earnings (included ranks based on earnings and performance)
https://data.cooperationdatabank.org/vocab/prop/noise,Noise,"Whether there is a mismatch (either positive or negative) between participants intended behavior and actual behavior communicated to one's partner. TRUE = Presence of a mismatch (either positive or negative) between participants intended behavior and actual behavior communicated to one's partner, FALSE = Absence of a mismatch (either positive or negative) between participants intended behavior and actual behavior communicated to one's partner."
https://data.cooperationdatabank.org/id/motivationalorientation/individualistic,Individualistic,"Individualistic goals aim to maximize own outcomes, regardless of the othersâ outcomes"
https://data.cooperationdatabank.org/vocab/prop/ostracism,Ostracism,"Participants could be avoided or rejected from a group. TRUE = Potential for ostracism was present, FALSE = Potential for ostracism was absent."
https://data.cooperationdatabank.org/id/anonymitymanipul/medium,Medium,The treatment was classified as having a relative medium level of anonymity
https://data.cooperationdatabank.org/id/individualdifference/agreeableness_(ffm),Agreeableness (FFM),"[Individual] differences in the motivation to cooperate (vs. acting selfishly) in resource conflicts (Denissen & Penke, 2008, p. 1285)"
https://data.cooperationdatabank.org/id/individualdifference/conscientiousness,Conscientiousness,"The proactive side of Conscientiousness is seen most clearly in the need for achievement and commitment to work; the inhibitive side is seen in moral scrupulousness and cautiousness (Costa et al., 1991, p. 889)"
https://data.cooperationdatabank.org/id/individualdifference/extraversion,Extraversion,"[Individual differences in] engagement in social endeavors (such as socializing, leading, or entertaining) (Ashton & Lee, 2007, p. 156)"
https://data.cooperationdatabank.org/id/individualdifference/neuroticism,Neuroticism,"A broad domain of negative affect, including predispositions to experience anxiety, anger, depression, shame, and other distressing emotions (Costa, Terracciano, & McCrae, 2001, p. 322)"
https://data.cooperationdatabank.org/id/individualdifference/openness_to_experience,Openness to experience,"[Individual differences in] engagement in idea-related endeavors (such as learning, imagining, and thinking) (Ashton & Lee, 2007, p. 156)"
https://data.cooperationdatabank.org/id/individualdifference/self-control,Self-control,"The ability to override or change oneâs inner responses, as well as to interrupt undesired behavioral tendencies (such as impulses) and refrain from acting on them (Tangney, Baumeister, & Boone, 2004, p. 274)"
https://data.cooperationdatabank.org/id/individualdifference/risk-taking,Risk-taking,"Oneâs general degree of comfort with facing uncertain gains or losses (Ehrlich & Maestas, 2010, p. 658)"
https://data.cooperationdatabank.org/id/individualdifference/positive_affect,Positive affect,"Individual differences in the tendency to experience positive emotions and feeling states (Stanton & Watson, 2014, p. 556)"
https://data.cooperationdatabank.org/id/individualdifference/negative_affect,Negative affect,"Individual differences in the tendency to experience negative moods and feelings, including sadness, worry, and anger (Stanton & Watson, 2014, p. 556)"
https://data.cooperationdatabank.org/id/endowmentlevel/medium,Medium,Medium relative level of tokens participants were endowed with in the game
https://data.cooperationdatabank.org/vocab/prop/threshold,Threshold,"The minimum threshold of total contribution by all group members when the public good will be provided. This also defines the criticality of contributions, as contributions are more critical if other players cannot reach the threshold on their own (esp. in sequential games where othersâ prior contributions are known)."
https://data.cooperationdatabank.org/vocab/prop/thresholdLevel,Threshold level,"Relative level of the minimum threshold of total contribution by all group members when the public good will be provided. This also defines the criticality of contributions, as contributions are more critical if other players cannot reach the threshold on their own (esp. in sequential games where othersâ prior contributions are known)."
https://data.cooperationdatabank.org/id/thresholdlevel/medium,Medium,Medium relative level of the minimum threshold of total contribution by all group members when the public good will be provided
https://data.cooperationdatabank.org/id/thresholdlevel/high,High,High relative level of the minimum threshold of total contribution by all group members when the public good will be provided
https://data.cooperationdatabank.org/id/thresholdlevel/low,Low,Low relative level of the minimum threshold of total contribution by all group members when the public good will be provided
https://data.cooperationdatabank.org/vocab/prop/communicationTreatment,Communication treatment,"Whether communication was allowed between participants in the game. TRUE = Participants could communicate in the game, FALSE = Participants could not communicate in the game."
https://data.cooperationdatabank.org/vocab/prop/communicationContent,Communication content,"What was the content of communication, either given by pre-specified messages or coded from free communication."
https://data.cooperationdatabank.org/id/communicationcontent/request,Request,"Requests and suggestions (e.g., to cooperate or contribute)"
https://data.cooperationdatabank.org/vocab/prop/communicationOccurrence,Communication occurrence,"Whether, in an iterated game, agents could communicate only once or throughout the experiment, such as before every trial."
https://data.cooperationdatabank.org/id/communicationoccurrence/one-shot,One-shot,"Participants could only communicate once, before the first trial of the game"
https://data.cooperationdatabank.org/vocab/prop/communicationType,Communication type,The mode of communication between participants in the game.
https://data.cooperationdatabank.org/id/communicationtype/written,Written,Participants could communicate via written messages (either using free text entry or pre-written messages)
https://data.cooperationdatabank.org/vocab/prop/restricted,Restricted communication,"Whether communication is restricted to pre-specified messages, or participants are free to formulate their own messages. TRUE = Communication restricted to pre-specified messages, FALSE = Free communication."
https://data.cooperationdatabank.org/vocab/prop/blockOfCooperationOrdinal,Block of cooperation (ordinal),"Block on which cooperation is assessed on an ordinal scale. Blocks are defined as chunks of trials aggregated together. Trials can be grouped in a block based on some manipulation in the game, but can also be aggregated based on arbitrary reasons not related to the study design (e.g., statistical analyses)."
https://data.cooperationdatabank.org/id/blockofcooperationordinal/first,first,Cooperation assessed in the first block
https://data.cooperationdatabank.org/id/blockofcooperationordinal/last,last,Cooperation assessed in the last block
https://data.cooperationdatabank.org/id/iteratedstrategy/real_partner,Real Partner,No experimental strategy is used and participants are playing according to actual game choices
https://data.cooperationdatabank.org/vocab/prop/knownEndGame,Known endgame,"Whether participants know the exact number of trials at the beginning of the experiment. Endgame is considered known also when participants played a one-shot game. TRUE = Known endgame, FALSE = Endgame not known."
https://data.cooperationdatabank.org/id/primingconcept/competition,Competition,"A prime that may increase non-cooperation; such as conflict, business or economic context"
https://data.cooperationdatabank.org/id/primingconcept/cooperation,Cooperation,"A prime that may increase cooperation; includes primes about the concept of cooperation, community, interdependence, shared identity"
https://data.cooperationdatabank.org/vocab/prop/gameIncentive,Game incentive,Whether participantsâ decisions in the game determine their payoffs in different forms.
https://data.cooperationdatabank.org/id/gameincentive/monetary,Monetary,"Decisions in the game resulted in monetary outcomes, often converted from game points"
https://data.cooperationdatabank.org/id/gameincentive/hypothetical,Hypothetical,"Decisions in the game resulted in outcomes with hypothetical value for participants (e.g., points)"
https://data.cooperationdatabank.org/id/feedbackcontent/success,Success,Feedback about the success of the group in reaching some payoff-relevant threshold in the game
https://data.cooperationdatabank.org/id/feedbackcontent/failure,Failure,Feedback about the failure of the group in reaching some payoff-relevant threshold in the game
https://data.cooperationdatabank.org/vocab/prop/thresholdEndogenous,Endogenous threshold,"Whether the threshold is endogenously determined (e.g., through voting by participants). TRUE = Endogenous threshold, FALSE = Exogenous threshold."
https://data.cooperationdatabank.org/id/uncertaintytarget/threshold,Threshold,"The minimum threshold of total contribution by all group members for the public good to be provided or the occurrence of a loss (e.g., in case of public bad games)"
https://data.cooperationdatabank.org/vocab/prop/resourceSize,Resource size,Overall size of the resource that participants can withdraw in a resource dilemma game.
https://data.cooperationdatabank.org/vocab/prop/resourceSizeLevel,Resource size level,Relative size of the resource that participants can withdraw in a resource dilemma game.
https://data.cooperationdatabank.org/id/resourcesizelevel/low,Low,Low relative size of the resource that participants can withdraw in a resource dilemma game
https://data.cooperationdatabank.org/id/resourcesizelevel/high,High,High relative size of the resource that participants can withdraw in a resource dilemma game
https://data.cooperationdatabank.org/vocab/prop/descriptiveNorm,Descriptive norm,Participants are provided information about how others typically behave in the game.
https://data.cooperationdatabank.org/id/descriptivenorm/no_information,No Information,Participants are not provided information about how others have previously behaved in the game
https://data.cooperationdatabank.org/id/descriptivenorm/low_cooperation,Low Cooperation,Participants are told that people often displayed relatively low cooperation
https://data.cooperationdatabank.org/id/descriptivenorm/medium_cooperation,Medium Cooperation,Participants are told that people often displayed relatively medium amounts of cooperation
https://data.cooperationdatabank.org/id/descriptivenorm/high_cooperation,High Cooperation,Participants are told that people often displayed relatively high amounts of cooperation
https://data.cooperationdatabank.org/vocab/prop/communicationOptional,Optional communication,"Whether participants had a choice to communicate (or not) with their partner. TRUE = Optional communication, FALSE = Mandatory communication."
https://data.cooperationdatabank.org/vocab/prop/communicationReal,Real communication,"Whether the communication received by participants was real or fake. TRUE = Real communication, FALSE = Fake communication."
https://data.cooperationdatabank.org/id/communicationtype/verbal,Verbal,"Participate could speak to each other, either in person or via phone/voice chat"
https://data.cooperationdatabank.org/id/communicationcontent/other,Other,Other content of messages
https://data.cooperationdatabank.org/id/leadershipassignmentrule/random_appointment,Random Appointment,Leader is randomly appointed
https://data.cooperationdatabank.org/vocab/prop/lotteryIncentive,Lottery incentive,"Whether the study involved a lottery to get paid (monetary or non-monetary) resources based on the outcome of the game. TRUE = A lottery was implemented as incentive, FALSE = A lottery was not implemented as incentive."
https://data.cooperationdatabank.org/vocab/prop/showUpFee,Show-up fee,"Whether participants received a show-up fee for the study (i.e., a certain payment for participation). TRUE = Show-up fee, FALSE = No show-up fee."
https://data.cooperationdatabank.org/vocab/prop/publicGoodBadFrame,Public Good-Bad frame,"Public goods vs. public bads refer to the framing of the consequence of decisions for others. In public goods provision, contributions to the public good are described to provide a benefit to others. In public bad-type games, contributions to the public bad impose a cost on others, or contributions to the private good impose a negative externality on others."
https://data.cooperationdatabank.org/id/publicgoodbadframe/public_bad,Public Bad,The game is framed in terms of negative outcomes to others arising from contributions to the public bad or in terms of negative externalities from contributions to the private good.
https://data.cooperationdatabank.org/id/publicgoodbadframe/public_good,Public Good,The game is framed in terms of positive outcomes to others arising from contributions to the public good.
https://data.cooperationdatabank.org/vocab/prop/society,Small-scale society,"Participant's small-scale society of origin, according to the d-place classification. ""Other"" if small-scale society is not included in the d-society classification . A society can be understood to represent a group of people at a focal location with a shared language that differs from that of their neighbors"" (Kirby et al., 2016). "
https://data.cooperationdatabank.org/id/religiosityoperationalization/religious_attendance,Religious attendance,"Participants reported the frequency of attending religious services (e.g., going to church)"
https://data.cooperationdatabank.org/id/religiouslevel/medium,Medium,Participants were classified as having a relative medium religious exposure
https://data.cooperationdatabank.org/id/levelofanalysis/1,Trial,"Data were analyzed at the trial level, so that cooperation for each trial is used as observation in the analysis"
https://data.cooperationdatabank.org/vocab/prop/nbBlocks,Number of blocks,"The total number of blocks across the full experimental session. A block is a unit within the experiment in which trials have the same treatment and matching procedure. E.g., ten trials of partner-matched play followed by ten trials of partner-matched play with a different partner are two blocks of ten trials (because re-matching takes place). Ten trials of stranger-matched play followed by ten more trials of stranger-matched play are one block of 20 trials. Ten trials of stranger-matched play as baseline followed by ten more trials of stranger-matched play with punishment are two blocks of ten trials, as the treatment changes. Thus, divisions of trials into blocks only for analysis are not treated as blocks."
https://data.cooperationdatabank.org/vocab/prop/nbTrials,Number of trials,The number of trials (rounds) in each block.
https://data.cooperationdatabank.org/vocab/prop/oneShotVsRepeated,One-shot vs repeated,Whether participants played the game with the same person only once (this also applies if participants switch partners after each trial) versus played the game repeatedly with the same person.
https://data.cooperationdatabank.org/id/oneshotvsrepeated/one-shot,One-shot,Participants played the game with the same person only once
https://data.cooperationdatabank.org/id/oneshotvsrepeated/repeated,Repeated,Participants played the game repeatedly with the same person
https://data.cooperationdatabank.org/vocab/prop/nationality,Nationality or region,Participant's nationality according to ISO-3 Country Code.
https://data.cooperationdatabank.org/id/individualdifference/integrity,Integrity,"Integrity involves honesty, trustworthiness, fidelity in keeping oneâs word and obligations, and incorruptibility, or an unwillingness to violate principles regardless of the temptations, costs, and preferences of others (Schlenker, 2008, p. 1081)"
https://data.cooperationdatabank.org/vocab/prop/religiosityCor,Religiosity,"Correlation between any individual difference construct pertaining to the religious sphere (e.g., beliefs in god, church attendance, religious affiliation) and cooperation."
https://data.cooperationdatabank.org/vocab/prop/socialCapital,Social capital,"Correlation between cooperation and individual differences in social capital measures, which capture the quality of the networks individuals are immersed in (e.g.,  volunteering, active participation in electoral process, number of friends). Although trust is defined as part of the social capital, it is currently coded separately as an individual difference (trust propensity) or state trust."
https://data.cooperationdatabank.org/vocab/prop/identification,Identification,Correlation between extent to which the participants identify with their partner(s) and cooperation.
https://data.cooperationdatabank.org/vocab/prop/matching,Matching,How participants are paired with others during interactions.
https://data.cooperationdatabank.org/id/matching/stranger,Stranger,"Participants interact with one person for one trial (i.e., one-shot), or switch partners after each trial across many trials (i.e., one-shot repeated)"
https://data.cooperationdatabank.org/id/matching/partner,Partner,Participants interact with the same partner for multiple trials
https://data.cooperationdatabank.org/vocab/prop/trialOfCooperation,Trial of cooperation,Trial on which cooperation is assessed.
https://data.cooperationdatabank.org/vocab/prop/minimumContribution,Minimum contribution,"Mandatory minimum contributions or taxation set that minimum contribution players must make. Taxation is institutional, i.e., the threshold is set by an institution (this is different from pledges of contributions, which are coded as âCommunicationâ)."
https://data.cooperationdatabank.org/id/minimumcontribution/mandatory_minimum,Mandatory Minimum,Minimum contribution is automatically contributed to the public good
https://data.cooperationdatabank.org/vocab/prop/minimumContributionValue,Minimum contribution value,The value of the minimum contribution to the public good as a proportion of the endowment.
https://data.cooperationdatabank.org/id/statisticaltest/z,z,Z statistic
https://data.cooperationdatabank.org/vocab/prop/institutionalChoice,Institutional choice,"Whether participants can choose an institution (such as punishment, reward)."
https://data.cooperationdatabank.org/id/institutionalchoice/exogenous,Exogenous,"With exogenous institutions, the structure of the game is given and cannot be changed by players"
https://data.cooperationdatabank.org/vocab/prop/choiceMechanism,Institutional choice mechanism,"Endogenous institutions can be established by the participants themselves, such as with a vote or migrating to groups with different institutions."
https://data.cooperationdatabank.org/id/choicemechanism/vote,Vote,"Participants can establish different institutions by vote, requiring some threshold (simple majority, consensus, etc.)"
https://data.cooperationdatabank.org/id/institutionalchoice/endogenous,Endogenous,"With endogenous institutions, participants can influence the type of institution provided"
https://data.cooperationdatabank.org/vocab/prop/typeOfInstitution,Institution type,The type of institution that can be established. 
https://data.cooperationdatabank.org/id/typeofinstitution/punishment,Punishment,Punishment is the imposition of negative payoffs on a specific participant after a trial in the game
https://data.cooperationdatabank.org/vocab/prop/voteTarget,Vote target,Whether the vote is to establish a new institution or to remove an existing institution.
https://data.cooperationdatabank.org/id/votetarget/establish,Establish,Vote to establish a new institution
https://data.cooperationdatabank.org/vocab/prop/voteOutcome,Vote outcome,Whether the vote resulted in the targeted outcome or did not result in the targeted outcome.
https://data.cooperationdatabank.org/id/voteoutcome/yes_vote,Yes Vote,"The proposal reached the threshold (the institution was established, removed, altered, etc.)"
https://data.cooperationdatabank.org/id/voteoutcome/no_vote,No Vote,"The proposal did not reach the threshold (the institution was not established, removed, altered, etc.)"
https://data.cooperationdatabank.org/id/partnerchoice/exogenous,Exogenous,"Players are matched based on some (non-random) characteristic (e.g., personality, prior play)"
https://data.cooperationdatabank.org/vocab/prop/partnerPerception,Partner perception,"How participants perceive partner(s) in the game according to several characteristics (usually, self-reported)."
https://data.cooperationdatabank.org/id/partnerperception/attractive,Attractive,Partner is perceived to be physically attractive
https://data.cooperationdatabank.org/vocab/prop/partnerPerceptionLevel,Partner perception level,To what extent the partner is perceived in reference to the quality indicated in Partner Perception.
https://data.cooperationdatabank.org/id/partnerperceptionlevel/high,high,The partner is perceived as high in reference to a specific quality (this may be manipulated or measured in the study)
https://data.cooperationdatabank.org/id/partnerperceptionlevel/low,low,The partner is perceived as low in reference to a specific quality (this may be manipulated or measured in the study)
https://data.cooperationdatabank.org/id/partnerperception/unattractive,Unattractive,Partner is perceived to be physically unattractive
https://data.cooperationdatabank.org/id/choicemechanism/choice,Choice,Individual participants can choose to impose an institution on themselves or others.
https://data.cooperationdatabank.org/id/communicationcontent/promise,Promise,"Promises (e.g., of own cooperation or reward)"
https://data.cooperationdatabank.org/id/communicationoccurrence/ongoing,Ongoing,"Participants could communicate before multiple (all, or at least several) trials (If the game was one-shot, then communication was coded as ongoing)"
